,0,1
0,-0.0068346867,-0.28512862
1,-1.1831669,0.519861
2,-0.46935475,-1.1770178
3,-0.24587932,0.18417409
4,-1.4087865,0.9672086
5,-1.8040895,-1.1464752
6,1.2017484,2.9051301
7,-0.82280874,0.37190133
8,2.6079714,1.5317243
9,0.7039955,-0.7807214
10,-2.663491,-0.22008967
11,0.8588203,-1.2193964
12,-0.69614184,-0.0222577
13,0.59582525,0.33247653
14,1.0541396,-0.68835527
15,0.8718985,-0.17264286
16,-0.4034522,0.5231929
17,-1.6794982,0.084460385
18,-0.43945044,1.4943179
19,0.7836903,-1.0276546
20,1.0433085,1.4395667
21,-0.0690896,1.5021242
22,1.2688165,-0.6418003
23,2.0144362,1.6435829
24,0.24513406,0.12168498
25,0.50727385,-1.8178291
26,-0.6905769,-1.5903225
27,-0.7592369,-0.23461394
28,0.36876744,-0.040453456
29,0.7169968,0.08974936
30,1.171161,-0.70290256
31,0.7539836,-0.24751046
32,-0.27960226,-1.0746578
33,-1.5793248,1.3133179
34,0.8359962,-0.19396424
35,0.6850021,0.7474998
36,-0.38608783,-1.2687228
37,-0.26965985,0.92361367
38,-1.0829959,-0.6277785
39,-1.2081913,1.8817817
40,-1.1463052,0.25127003
41,1.16763,1.3585004
42,0.85342985,0.74250865
43,-1.495815,-0.9478733
44,-0.16576274,-1.7475455
45,-1.9046631,-1.6871902
46,-0.050317522,0.57261235
47,0.16569887,-0.15842634
48,-0.39734536,1.1419417
49,0.4374226,-2.3095424
50,0.34445083,1.1952789
51,-1.503086,-0.6736051
52,0.33807397,-2.0678782
53,-0.21248999,1.29429
54,-1.0200953,1.0502746
55,-0.89731413,0.3899775
56,-0.54356104,-1.6183146
57,1.2840203,-0.67747295
58,-0.054576997,0.2303701
59,-3.569033,-0.610197
60,-0.808896,-1.4857045
61,-2.1765413,-0.24112476
62,-0.28039098,0.14255282
63,-0.2844093,0.5816111
64,0.3562029,-1.2756268
65,-0.034264423,-0.97702545
66,-1.1732289,-1.9761915
67,-0.33391744,1.0085052
68,-1.6363829,1.1398253
69,0.07579824,-0.20293884
70,-1.1199901,-1.1917888
71,-0.713292,0.2383723
72,1.3189219,0.42273843
73,1.3792405,-0.008397401
74,1.7967007,0.737341
75,-0.17309107,0.94114023
76,0.06622441,-0.5678562
77,-0.83982074,-1.9002327
78,-0.28775403,-0.22692628
79,-0.33126983,-0.52776057
80,0.42258093,-1.0171021
81,2.8665178,-0.72956276
82,0.6863876,0.024712315
83,0.83264136,0.08777885
84,-0.4052312,-0.34800866
85,-0.4715598,-0.42641985
86,-0.6448942,0.64941627
87,0.981472,1.1026071
88,1.715446,0.026046425
89,0.8914804,0.13396859
90,1.4279547,-0.3119009
91,-0.37068522,1.6159768
92,-0.9121282,-1.0279824
93,0.5793182,0.6673491
94,-0.90812325,0.0924504
95,0.3775397,-2.176364
96,0.29498625,-1.8584578
97,-0.6118561,-0.9669754
98,-0.8382188,-1.3439714
99,1.2812791,1.2884859
100,-0.4679651,1.858693
101,0.5745129,1.1224259
102,-0.62398326,0.27149868
103,-0.39145023,0.19947352
104,0.5415513,1.3867699
105,-2.666631,0.27573514
106,-0.82498455,0.23194858
107,0.18379003,-0.1380397
108,-0.24495639,0.10111966
